Movie Names,Ratings
Les Évadés,9.3
Le Parrain,9.2
The Dark Knight : Le Chevalier noir,9.0
"Le Parrain, 2ᵉ partie",9.0
12 Hommes en colère,9.0
La Liste de Schindler,9.0
Le Seigneur des anneaux : Le Retour du roi,9.0
Pulp Fiction,8.9
Le Seigneur des anneaux : La Communauté de l'anneau,8.9
"Le Bon, la Brute et le Truand",8.8
Forrest Gump,8.8
Le Seigneur des anneaux : Les Deux Tours,8.8
Fight Club,8.8
Inception,8.8
L'Empire contre-attaque,8.7
Matrix,8.7
Les affranchis,8.7
Vol au-dessus d'un nid de coucou,8.7
Seven,8.6
Dune: Deuxième partie,8.7
Interstellar,8.7
La vie est belle,8.6
Les 7 Samouraïs,8.6
Le Silence des agneaux,8.6
Il faut sauver le soldat Ryan,8.6
La Cité de Dieu,8.6
La vie est belle,8.6
La Ligne verte,8.6
Terminator 2 : Le Jugement dernier,8.6
Star Wars: Épisode IV - Un nouvel espoir,8.6
Retour vers le futur,8.5
Le Voyage de Chihiro,8.6
Le Pianiste,8.5
Parasite,8.5
Psychose,8.5
Spider-Man: Across the Spider-Verse,8.6
Gladiator,8.5
Le Roi lion,8.5
Léon,8.5
Les Infiltrés,8.5
American History X,8.5
Whiplash,8.5
Le Prestige,8.5
Le Tombeau des lucioles,8.5
Harakiri,8.6
Usual Suspects,8.5
Casablanca,8.5
Intouchables,8.5
Cinéma Paradiso,8.5
Les Temps modernes,8.5
Fenêtre sur cour,8.5
Il était une fois dans l'Ouest,8.5
"Alien, le 8ème passager",8.5
Les Lumières de la ville,8.5
Django Unchained,8.5
Apocalypse Now,8.4
Memento,8.4
12th Fail,9.0
WALL·E,8.4
Les Aventuriers de l'arche perdue,8.4
La vie des autres,8.4
Boulevard du Crépuscule,8.4
Les Sentiers de la gloire,8.4
Avengers: Infinity War,8.4
Spider-Man: New Generation,8.4
Témoin à charge,8.4
Shining,8.4
Le dictateur,8.4
"Aliens, le retour",8.4
Inglourious Basterds,8.4
The Dark Knight Rises,8.4
Dr. Folamour ou : comment j'ai appris à ne plus m'en faire et à aimer la bombe,8.4
American Beauty,8.3
Old Boy,8.3
Coco,8.4
Amadeus,8.4
Toy Story,8.3
Le Bateau,8.4
Avengers: Endgame,8.4
Braveheart,8.3
Joker,8.4
Princesse Mononoké,8.3
Will Hunting,8.3
Your Name.,8.4
Il était une fois en Amérique,8.3
Entre le ciel et l'enfer,8.4
3 Idiots,8.4
Chantons sous la pluie,8.3
Capharnaüm,8.4
Requiem for a Dream,8.3
Requiem pour un massacre - Va et regarde,8.4
Toy Story 3,8.3
Le Retour du Jedi,8.3
Oppenheimer,8.3
Eternal Sunshine of the Spotless Mind,8.3
La chasse,8.3
2001 : L'Odyssée de l'espace,8.3
Reservoir Dogs,8.3
Vivre,8.3
Lawrence d'Arabie,8.3
La garçonnière,8.3
La Mort aux trousses,8.3
Citizen Kane,8.3
Incendies,8.3
Sueurs froides,8.3
M le maudit,8.3
Assurance sur la mort,8.3
Scarface,8.3
Le Fabuleux Destin d'Amélie Poulain,8.3
Full Metal Jacket,8.3
Heat,8.3
Orange mécanique,8.3
Là-haut,8.3
Du silence et des ombres...,8.3
L'Arnaque,8.3
Une séparation,8.3
Indiana Jones et la Dernière Croisade,8.2
Piège de cristal,8.2
Metropolis,8.3
Taare Zameen Par,8.3
Snatch : Tu braques ou tu raques,8.2
Hamilton,8.3
L.A. Confidential,8.2
1917,8.2
Le Voleur de bicyclette,8.3
Taxi Driver,8.2
La Chute,8.2
Dangal,8.3
...et pour quelques dollars de plus,8.2
Batman Begins,8.2
Le Loup de Wall Street,8.2
Certains l'aiment chaud,8.2
Green Book : Sur les routes du sud,8.2
Le Kid,8.2
The Father,8.2
Jugement à Nuremberg,8.3
Ève...,8.2
The Truman Show,8.2
Top Gun: Maverick,8.2
Shutter Island,8.2
There Will Be Blood,8.2
Casino,8.2
Jurassic Park,8.2
Ran,8.2
Sixième Sens,8.2
Le Labyrinthe de Pan,8.2
Impitoyable,8.2
No Country for Old Men,8.2
Un homme d'exception,8.2
The Thing,8.2
Kill Bill: Volume I,8.2
Le Trésor de la Sierra Madre,8.2
Le Garde du corps,8.2
Monty Python : Sacré Graal !,8.2
La Grande Évasion,8.2
Le Monde de Nemo,8.2
Rashomon,8.2
Prisoners,8.2
Le Château ambulant,8.2
Elephant Man,8.2
Chinatown,8.1
Le crime était presque parfait,8.2
Autant en emporte le vent,8.2
V pour Vendetta,8.2
"Arnaques, crimes et botanique",8.1
Dans ses yeux,8.2
Vice-versa,8.1
Raging Bull,8.1
3 Billboards : Les Panneaux de la vengeance,8.1
Trainspotting,8.1
Le Pont de la rivière Kwaï,8.1
Spider-Man: No Way Home,8.2
Fargo,8.1
La Légende de Klaus,8.2
Arrête-moi si tu peux,8.1
Warrior,8.1
Godzilla Minus One,8.3
Gran Torino,8.1
Mon voisin Totoro,8.1
Million Dollar Baby,8.1
Harry Potter et les Reliques de la Mort : partie 2,8.1
Les enfants du ciel,8.2
12 Years a Slave,8.1
Blade Runner,8.1
Before Sunrise,8.1
Ben-Hur,8.1
Barry Lyndon,8.1
The Grand Budapest hotel,8.1
Gone Girl,8.1
Tu ne tueras point,8.1
La Ruée vers l'or,8.1
Memories of Murder,8.1
Au nom du père,8.1
Le Cercle des poètes disparus,8.1
Les Nouveaux Sauvages,8.1
Mad Max: Fury Road,8.1
Le mécano de la Générale,8.1
Voyage au bout de l'enfer,8.1
Sur les quais...,8.1
Monstres & Cie,8.1
Sherlock Junior,8.2
Le troisième homme,8.1
Le salaire de la peur,8.2
Dragons,8.1
Les Dents de la mer,8.1
Les fraises sauvages,8.1
Mary et Max.,8.1
Mr. Smith au sénat,8.1
Ratatouille,8.1
Le Mans '66,8.1
Voyage à Tokyo,8.1
The Big Lebowski,8.1
Room,8.1
Le Septième Sceau,8.1
Rocky,8.1
Logan,8.1
Spotlight,8.1
Hôtel Rwanda,8.1
Terminator,8.1
Platoon,8.1
La passion de Jeanne d'Arc,8.1
La Haine,8.1
Before Sunset,8.1
Les plus belles années de notre vie,8.1
Pirates des Caraïbes : La Malédiction du Black Pearl,8.1
L'Exorciste,8.1
Rush,8.1
Jai Bhim,8.7
Network - Main basse sur la TV,8.1
Stand by Me,8.1
Le Magicien d'Oz,8.1
Les Indestructibles,8.0
Hatchi,8.1
Mademoiselle,8.1
Into the Wild,8.1
Mon père et mon fils,8.2
La mélodie du bonheur,8.1
Jeu dangereux,8.1
Les raisins de la colère,8.1
La bataille d'Alger,8.1
Un jour sans fin,8.0
Amours chiennes,8.1
Rebecca,8.1
Le Géant de fer,8.1
Luke la main froide,8.1
La couleur des sentiments,8.1
New York - Miami,8.1
Aladdin,8.0
Danse avec les loups,8.0
Gangs of Wasseypur,8.2
